Konzeption und Realisierung einer mobilen Lohnerfassung für die Baubranche,extern,Bachelor
Internes IT-Marketing - Übersicht über genutzte und ungenutzte Potenziale der absatzpolitischen Instrumente,intern,Bachelor
Dynamischer Test der Software-Schnittstellenkomponenten in KFZ-Steuerelektronik,extern,Bachelor
Übertragung großer Datenmengen in einer Service-orientierten Architektur,extern,Bachelor
Parallelisierung endlicher Automaten am Beispiel XML Scanner/Tokenizer,intern,Bachelor
Redesign einer Wörterbuch-Webanwendung mit gleichzeitiger Portierung von Java nach .NET,extern,Bachelor
Entwurf eines IEC62304-konformen agilen Medizintechnik-Entwicklungsprozesses unter Verwendung des Prozessframework Scrum,extern,Bachelor
Neukonzeption und -entwicklung einer HR Geschäftsanwendung,extern,Bachelor
Imitation menschlicher Bewegungsabläufe durch einen humanoiden Roboter unter Einsatz einer Tiefensensorkamera,intern,Bachelor
Optimierung der Arbeitsplanung von mobilen Pflegediensten durch automatische Erstellung von Leistungsnachweisen,extern,Bachelor
Die Erschließung zukunftsorientierter Geschäftsfelder durch Anwendung von E-Business in verschiedenen Branchen,intern,Bachelor
"Konzeption, Modellierung und Implementierung eines Business Intelligence Prototyps im Bereich Road-Services der Spedition Geis",extern,Bachelor
Implementierung und Evaluierung eines TCP/IP-Stapels mit IPv6-Unterstützung auf einem Embedded-Gerät,extern,Master
Future concepts for smart and scalable access to digital media content in global companies,extern,Master
Entwicklung einer effizienteren Texteingabe für Smartphones,intern,Bachelor
Proof of Concept: Aufbau eines Stateless IPv4/IPc6 Address Translators (IVI) für die Kommunikation vom IPv4-basierten Internet-Clients mit IPv6-only Services,extern,Bachelor
Einführung eines ESB-Systems bei einem Versandhändler am Beispiel der Kommunikation zwischen Onlineshop und ERP/CRM System.,extern,Master
User Experience - Analytics for Business Software,extern,Bachelor
Prototyp eines Kfz-Infotainment-Systems auf GENIVI-Basis auf einer embedded Plattform,extern,Bachelor
Analyse und Bewertung von Replikationsstrategien für eine hochskalierbare Active Directory Lightweight Directory Services (AD LDS) Umgebung,extern,Bachelor
Konzeption softwaregestützter Prozessoptimierung des Projekt- und Multiprojektmanagements bei hotel.de.,extern,Bachelor
Konzept und prototypische Implementierung einer Business Intelligence-Standardlösung,extern,Master
Untersuchung der möglichen Einflussmöglichkeiten und Auswirkungen auf die Performance der DATEV-Anwendungen durch das Anbringen der Codesignatur,extern,Bachelor
SEO als Marketinginstrument für eine Unternehmensbertung,intern,Bachelor
Entwicklung und Implementierung einer Softwareanwendung für die Thermographieprüfung an LEDs und Wafern,extern,Master
Integration mobiler HTML-5-Anwendungen bei der DATEV eG  ,extern,Master
Autonomously detecting an picking up scattered objects: design and implementation of a module for humanoid robots  ,intern,Bachelor
Serious Gaming - Konzeptionelle Entwicklung und prototypische Umsetzung eines Lernspiels zur Vermittlung von ausgewählten COBIT-Inhalten anhand eines lerntheoretischen Ansatzes  ,extern,Master
Automatisierte Erzeugung. Verteilung und Installation von Linux-Images in virtualisierte Umgebungen  ,extern,Bachelor
Aufbau von Testumgebungen für automatisierte Tests in verteilten Szenarien ,extern,Bachelor
Evaluation von Test-Tools für ASP.NET MVC3 Anwendungen bei hotel.de ,extern,Bachelor
Konzeption und Realisierung einer Standard Berichtslösung und eines Kenntzahl-Cockpits für die Versandhandelsbranche  ,extern,Master
Konzipierung und Realisierung einer Client-Server-Datenbanklösung inklusive User-Front-End zur Haushaltsstrukturprüfung von Kommunen,extern,Bachelor
"Analyse, Erweiterung und Optimierung eines verteilten Test-Mangement-Systems in einem akkreditierten Prüflabor",extern,Bachelor
Entwicklung einer standardisierten Controllinglösung für kleine und mittelständische Unternehmen,extern,Master
Webanwendung und iPhone App für den mobilen Zugriff auf das Störungsmanagementsystem einer EAM-Applikation,extern,Master
Projektmanagement - Symbiose zwischen klassischen Projektmanagement und agilen Methoden von Scrum,extern,Bachelor
HTML-5 Anwendungen: Nutzung der offline Storage,extern,Bachelor
Analyse von Race Conditions in WebSeiten,intern,Bachelor
